show_id,tipo,pais
MOV_45958,Película,Spain
MOV_45958,Película,United States of America
MOV_37034,Película,China
MOV_37034,Película,Hong Kong
MOV_37034,Película,United States of America
MOV_54551,Película,United States of America
MOV_46503,Película,United States of America
MOV_50475,Película,South Korea
MOV_60695,Película,United States of America
MOV_50135,Película,Germany
MOV_52333,Película,Brazil
MOV_117352,Película,Japan
MOV_40080,Película,Canada
MOV_40080,Película,United States of America
MOV_44244,Película,United States of America
MOV_8952,Película,France
MOV_8952,Película,United States of America
MOV_101669,Película,United States of America
MOV_36956,Película,Italy
MOV_36956,Película,Switzerland
MOV_32206,Película,United States of America
MOV_38303,Película,United States of America
MOV_48395,Película,Finland
MOV_48395,Película,France
MOV_48395,Película,Norway
MOV_48395,Película,Sweden
MOV_47909,Película,France
MOV_47909,Película,South Korea
MOV_59468,Película,Spain
MOV_59468,Película,United States of America
MOV_38073,Película,United States of America
MOV_270413,Película,Japan
MOV_278427,Película,United States of America
MOV_48034,Película,France
MOV_37495,Película,France
MOV_37495,Película,United Kingdom
MOV_47854,Película,Hong Kong
MOV_47854,Película,China
MOV_38368,Película,France
MOV_38368,Película,Germany
MOV_38368,Película,Spain
MOV_38368,Película,Thailand
MOV_38368,Película,United Kingdom
MOV_38368,Película,United States of America
MOV_44982,Película,United States of America
MOV_38778,Película,United States of America
MOV_23830,Película,France
MOV_23830,Película,United States of America
MOV_74658,Película,Italy
MOV_57361,Película,South Korea
MOV_12685,Película,Canada
MOV_12685,Película,Germany
MOV_12685,Película,United States of America
MOV_43263,Película,United States of America
MOV_44147,Película,France
MOV_44147,Película,United Kingdom
MOV_33473,Película,United States of America
MOV_29920,Película,Denmark
MOV_29920,Película,Sweden
MOV_29920,Película,Germany
MOV_41411,Película,France
MOV_41411,Película,Germany
MOV_41411,Película,Hungary
MOV_37905,Película,France
MOV_37905,Película,United States of America
MOV_41505,Película,United States of America
MOV_41110,Película,Italy
MOV_45202,Película,South Korea
MOV_48186,Película,United States of America
MOV_48186,Película,Canada
MOV_70000,Película,Japan
MOV_47904,Película,Algeria
MOV_47904,Película,Belgium
MOV_47904,Película,France
MOV_47904,Película,Italy
MOV_47904,Película,Tunisia
MOV_43931,Película,United States of America
MOV_51072,Película,France
MOV_37048,Película,Japan
MOV_52015,Película,United States of America
MOV_33427,Película,United States of America
MOV_62989,Película,Canada
MOV_36950,Película,United States of America
MOV_38843,Película,United States of America
MOV_61722,Película,Switzerland
MOV_57703,Película,Japan
MOV_57703,Película,Netherlands
MOV_38961,Película,United Kingdom
MOV_45556,Película,Canada
MOV_45556,Película,Australia
MOV_71172,Película,Japan
MOV_148284,Película,India
MOV_34179,Película,Hong Kong
MOV_34179,Película,China
MOV_34179,Película,Singapore
MOV_44113,Película,United States of America
MOV_57059,Película,Netherlands
MOV_57059,Película,Belgium
MOV_41479,Película,United States of America
MOV_44129,Película,United States of America
MOV_59457,Película,Germany
MOV_59457,Película,France
MOV_59457,Película,Hungary
MOV_46441,Película,United States of America
MOV_50393,Película,United States of America
MOV_46713,Película,Canada
MOV_46713,Película,United States of America
MOV_27583,Película,United States of America
MOV_35138,Película,China
MOV_35138,Película,Hong Kong
MOV_38093,Película,United States of America
MOV_39210,Película,France
MOV_39210,Película,Italy
MOV_39210,Película,Japan
MOV_39210,Película,United States of America
MOV_66113,Película,Australia
MOV_50838,Película,Canada
MOV_50838,Película,United States of America
MOV_41592,Película,United Kingdom
MOV_63555,Película,Mexico
MOV_11761,Película,United States of America
MOV_39781,Película,United States of America
MOV_52505,Película,United States of America
MOV_46528,Película,India
MOV_46528,Película,New Zealand
MOV_46528,Película,South Korea
MOV_46528,Película,United States of America
MOV_41201,Película,France
MOV_41201,Película,United Kingdom
MOV_39522,Película,United States of America
MOV_43920,Película,Canada
MOV_43920,Película,France
MOV_43920,Película,United Kingdom
MOV_148608,Película,United States of America
MOV_41211,Película,France
MOV_41211,Película,United States of America
MOV_609197,Película,Japan
MOV_44716,Película,Denmark
MOV_44716,Película,Sweden
MOV_27569,Película,United States of America
MOV_109149,Película,Japan
MOV_31867,Película,Canada
MOV_31867,Película,United States of America
MOV_57695,Película,France
MOV_57695,Película,Germany
MOV_39452,Película,United Kingdom
MOV_39452,Película,United States of America
MOV_68523,Película,United States of America
MOV_55890,Película,United States of America
MOV_46837,Película,United States of America
MOV_46837,Película,France
MOV_39312,Película,United States of America
MOV_48289,Película,United States of America
MOV_40170,Película,United States of America
MOV_54553,Película,United States of America
MOV_44221,Película,United States of America
MOV_44037,Película,United States of America
MOV_44037,Película,Bulgaria
MOV_29426,Película,Canada
MOV_29426,Película,United States of America
MOV_301307,Película,United States of America
MOV_51447,Película,France
MOV_52454,Película,United States of America
MOV_30618,Película,United States of America
MOV_38031,Película,Spain
MOV_38031,Película,United Kingdom
MOV_38031,Película,United States of America
MOV_52850,Película,United Kingdom
MOV_315620,Película,United Kingdom
MOV_43754,Película,United States of America
MOV_53457,Película,France
MOV_43434,Película,Germany
MOV_43434,Película,France
MOV_65760,Película,Canada
MOV_65760,Película,Germany
MOV_35691,Película,United States of America
MOV_44629,Película,Australia
MOV_48844,Película,Canada
MOV_48492,Película,China
MOV_48492,Película,Hong Kong
MOV_57448,Película,France
MOV_33555,Película,United States of America
MOV_47519,Película,Japan
MOV_41382,Película,United States of America
MOV_52010,Película,United Kingdom
MOV_49350,Película,Canada
MOV_49350,Película,United States of America
MOV_43418,Película,Australia
MOV_39413,Película,France
MOV_64246,Película,Japan
MOV_52587,Película,France
MOV_52587,Película,Germany
MOV_50674,Película,Germany
MOV_50674,Película,South Africa
MOV_50674,Película,United States of America
MOV_36970,Película,France
MOV_36970,Película,Monaco
MOV_36970,Película,Spain
MOV_36970,Película,Switzerland
MOV_36970,Película,United States of America
MOV_41556,Película,United States of America
MOV_40016,Película,United States of America
MOV_27584,Película,United States of America
MOV_27586,Película,United States of America
MOV_73529,Película,Japan
MOV_37708,Película,United States of America
MOV_118301,Película,Japan
MOV_35169,Película,United States of America
MOV_44734,Película,Japan
MOV_39800,Película,United States of America
MOV_37737,Película,India
MOV_48871,Película,United States of America
MOV_61984,Película,Japan
MOV_47518,Película,United States of America
MOV_47518,Película,Canada
MOV_45569,Película,Australia
MOV_55165,Película,Sweden
MOV_46138,Película,United Kingdom
MOV_148607,Película,United States of America
MOV_45662,Película,United States of America
MOV_38570,Película,United States of America
MOV_34583,Película,United States of America
MOV_43922,Película,United States of America
MOV_39356,Película,New Zealand
MOV_48415,Película,Germany
MOV_48415,Película,Italy
MOV_66195,Película,United States of America
MOV_61005,Película,Canada
MOV_33570,Película,Canada
MOV_33570,Película,United States of America
MOV_34764,Película,India
MOV_44835,Película,Taiwan
MOV_44835,Película,United States of America
MOV_50618,Película,Belarus
MOV_50618,Película,Russia
MOV_46103,Película,Romania
MOV_46103,Película,United States of America
MOV_56812,Película,Belgium
MOV_56812,Película,France
MOV_56812,Película,Italy
MOV_56812,Película,Spain
MOV_44718,Película,United States of America
MOV_49706,Película,Hong Kong
MOV_37931,Película,United States of America
MOV_42889,Película,United States of America
MOV_44009,Película,United Kingdom
MOV_44009,Película,United States of America
MOV_31007,Película,United States of America
MOV_62489,Película,Germany
MOV_50337,Película,United States of America
MOV_44638,Película,India
MOV_44638,Película,United Kingdom
MOV_44638,Película,United States of America
MOV_50204,Película,United Kingdom
MOV_44560,Película,China
MOV_44560,Película,Hong Kong
MOV_28396,Película,Spain
MOV_36801,Película,United Kingdom
MOV_50848,Película,France
MOV_148606,Película,United States of America
MOV_49087,Película,South Korea
MOV_46207,Película,France
MOV_37932,Película,United States of America
MOV_53807,Película,Hong Kong
MOV_53807,Película,China
MOV_35688,Película,United States of America
MOV_51250,Película,United States of America
MOV_46665,Película,Canada
MOV_32916,Película,United States of America
MOV_70695,Película,United States of America
MOV_63348,Película,United States of America
MOV_59490,Película,Canada
MOV_59490,Película,France
MOV_59490,Película,Germany
MOV_59490,Película,United Kingdom
MOV_59490,Película,United States of America
MOV_45272,Película,United States of America
MOV_73211,Película,Norway
MOV_73211,Película,France
MOV_73211,Película,Sweden
MOV_73211,Película,Poland
MOV_46020,Película,United States of America
MOV_77235,Película,United States of America
MOV_45649,Película,France
MOV_68252,Película,South Korea
MOV_743885,Película,Japan
MOV_46812,Película,Germany
MOV_46812,Película,South Africa
